"DATUM","TYP","VOM KONTO","ZUM KONTO / ZUR KATEGORIE","BETRAG","WÄHRUNG","BETRAG 2","WÄHRUNG 2","BEZEICHNUNGEN","NOTIZEN"
"13.12.19","Ausgabe","Girokarte","Reisen","14.3","EUR","14.3","EUR","",""
"13.12.19","Ausgabe","Girokarte","Lebensmittel","3.91","EUR","3.91","EUR","",""
"13.12.19","Ausgabe","Girokarte","Lebensmittel","2.25","EUR","2.25","EUR","",""
"13.12.19","Ausgabe","Girokarte","Lebensmittel","1.3","EUR","1.3","EUR","",""
"13.12.19","Ausgabe","Girokarte","Lebensmittel","3.3","EUR","3.3","EUR","",""
"12.12.19","Ausgabe","Girokarte","Mensa (Lebensmittel)","10","EUR","10","EUR","",""
"11.12.19","Ausgabe","Girokarte","Allgemein","9.99","EUR","9.99","EUR","",""
"11.12.19","Ausgabe","Girokarte","Abonnenements ","5","EUR","5","EUR","","Medium"
"11.12.19","Ausgabe","Girokarte","Freizeit","15","EUR","15","EUR","",""
"11.12.19","Ausgabe","Girokarte","Arbeit (Lebensmittel)","5.05","EUR","5.05","EUR","",""
"11.12.19","Einnahme","Girokarte","Papa","314","EUR","314","EUR","",""
"11.12.19","Ausgabe","Girokarte","Abonnenements ","14.99","EUR","14.99","EUR","",""
"11.12.19","Einnahme","Girokarte","Omi","50","EUR","50","EUR","",""
"10.12.19","Ausgabe","Girokarte","Weiterbildung","12.9","EUR","12.9","EUR","",""
"10.12.19","Ausgabe","Girokarte","Lebensmittel","1.2","EUR","1.2","EUR","",""
"10.12.19","Ausgabe","Girokarte","Gesundheit","3.99","EUR","3.99","EUR","",""
"10.12.19","Ausgabe","Girokarte","Lebensmittel","15.92","EUR","15.92","EUR","",""
"09.12.19","Ausgabe","Girokarte","Lebensmittel","7.59","EUR","7.59","EUR","",""
"09.12.19","Ausgabe","Girokarte","Miete","290","EUR","290","EUR","",""
"09.12.19","Ausgabe","Girokarte","Reisen","3.33","EUR","3.33","EUR","",""
"06.12.19","Ausgabe","Girokarte","Weiterbildung","12.99","EUR","12.99","EUR","",""
"06.12.19","Ausgabe","Girokarte","Lebensmittel","3.5","EUR","3.5","EUR","",""
